distribution_identifier,indice_tiempo,frec_temporal,alcance_tipo,alcance_id,alcance_nombre,pobl_proy,tasa_mort_gral,tasa_nat,tasa_mort_mat,tasa_mort_inf,alum_comun_inic,alum_comun_pri,alum_comun_sec_bas,alum_comun_sec_or,alum_comun_sup_nouniv,alum_comun_tot,dep_priv_monlocyext,dep_publ_monlocyext,prest_priv_monlocyext,prest_publ_monlocyext,rt_origenprov,recursos_ctes,gasto_tot,resultado_financiero,pbg_base1993_constantes,pbg_base1993_corrientes,pbg_base2004_constantes,pbg_base2004_corrientes,empleo_tot,empleo_sector_a,empleo_sector_b,empleo_sector_ab,empleo_sector_c,empleo_sector_d,empleo_sector_e,empleo_sector_f,empleo_sector_g,empleo_sector_h,empleo_sector_i,empleo_sector_j,empleo_sector_k,empleo_sector_m,empleo_sector_n,empleo_sector_o,empleo_sector_serv,expo_fob_102A,expo_fob_102B,expo_fob_104B,expo_fob_104C,expo_fob_105A,expo_fob_105B,expo_fob_105C,expo_fob_106A,expo_fob_106B,expo_fob_106ZF,expo_fob_107A,expo_fob_108A,expo_fob_111,expo_fob_111A,expo_fob_111BA,expo_fob_111Z,expo_fob_201AA,expo_fob_201AE,expo_fob_206A,expo_fob_208AA,expo_fob_210A,expo_fob_210D,expo_fob_211A,expo_fob_212AE,expo_fob_213A,expo_fob_214B,expo_fob_299,expo_fob_302A,expo_fob_302B,expo_fob_302C,expo_fob_302F,expo_fob_302J,expo_fob_306A,expo_fob_306C,expo_fob_310A,expo_fob_311AZ,expo_fob_311C,expo_fob_312AL,expo_fob_312B,expo_fob_313BB,expo_fob_314A,expo_fob_314B,expo_fob_399Z,expo_fob_401,expo_fob_402A,expo_fob_402Z,expo_fob_404A,expo_fob_499
99.1,1996-12-31,anual,PAIS,200,Argentina,,7.6,19.2,4.7,20.9,,,,,,,,,,,,,,,,,,,3510220.25,239725.25,9042.25,,35068.75,907689.5,44648.75,199232,543600,106404,290520.75,123587.5,433085.25,163326.25,173637.5,240652.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1997-12-31,anual,PAIS,200,Argentina,,7.6,19.4,3.8,18.8,,,,,,,,,,,,,,,,,,,3821174.5,258089.75,10053.5,,37933.25,946679.75,45906.25,247097.25,589861.5,113679.5,325166,134432.25,482639,197788.25,179600.25,252248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1998-12-31,anual,PAIS,200,Argentina,,7.8,18.9,3.8,19.1,,,,,,,,,,,,,,,,,,,4083116.5,262924.75,9970.75,,39274.75,962692,48059.75,271376.75,632371,121092.5,354372.75,145177.5,530187.5,260285.75,181436.75,263894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,1999-12-31,anual,PAIS,200,Argentina,,7.9,18.8,4.1,17.6,,,,,,,,,,,,,,,,,,,4047190.75,258513.25,9436.5,,36027.5,913341.5,48708,273736.5,633847.75,120904.75,361238.75,149216.75,538240,270122.75,177345,256511.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2000-12-31,anual,PAIS,200,Argentina,,7.5,19,3.5,16.6,,,,,,,,,,,,,,,,,,,3994437,254618.5,9341,,37501.75,869539.75,48765,235797.5,638007,123685.75,362376.5,147803.5,552116.5,280355.25,177480,257049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2001-12-31,anual,PAIS,200,Argentina,,7.6,18.2,4.3,16.3,,,,,,,,,,,,,,,,,,,3919567,250350.25,10714.75,,38268.75,825958.25,48789,209325.5,639643,122306.5,355818.75,142020,550310,290256.5,178044.5,257761.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2002-12-31,anual,PAIS,200,Argentina,,7.7,18.3,4.6,16.8,,,,,,,,,,,,,,,,,,,3522716.75,235699.75,12818.25,,35842.5,742459.5,46572.5,125203,574743.25,110745.75,326511.75,126103.5,488628,289513.75,170159.25,237716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2003-12-31,anual,PAIS,200,Argentina,,8,18.4,4.4,16.5,,,,,,,,,,,,,,,,,,,3727640.25,252367,14538.5,,39199,797166.25,46414.5,160043,599591.25,119364.75,332136.25,113171,532121.25,300115.25,170956.25,250456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2004-12-31,anual,PAIS,200,Argentina,,7.7,19.3,4,14.4,,,,,,,,,,,,,,,,,,,4182407.5,277034.25,15505,,44773.5,899281.75,48273,218710.25,685040.5,138349.25,349410,116544,612076,318283.75,180607,278519.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2005-12-31,anual,PAIS,200,Argentina,,7.6,18.5,3.9,13.3,,,,,,,,,,,21930.53946,74634.52313,75984.79046,2154.714132,,,,,4691768.75,301951,15665.5,,51124.75,989715.25,49663.75,299776.25,774589.75,163417.75,387412.75,123311.75,695106.5,337318,193473.25,309242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2006-12-31,anual,PAIS,200,Argentina,,7.5,17.9,4.8,12.9,,,,,,,,,,,27289.12633,92136.36605,96775.48407,530.8007615,,,,,5139184.25,319412.75,16810.25,,56973,1072364,51500,368634.75,853143.5,187081.75,422929.25,131529,766743.75,354166.25,206110.25,331785.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2007-12-31,anual,PAIS,200,Argentina,,8,17.8,4.4,13.3,,,,,,,,,,,34300.71996,116854.0205,124384.8796,-588.6761396,,,,,5584089,333085.75,16599.75,,64032,1145488.5,52817,430560,944743.25,207257,462097,145385.5,843049.5,370909,219428,348636.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2008-12-31,anual,PAIS,200,Argentina,,7.6,18.8,4,12.5,1485899,4664025,2153329,1369803,607233,10280289,,,,,45468.56229,152658.2288,164429.1604,-4218.842415,,,,,5921958.25,350709.25,16161.75,,69754.75,1211382.25,54215.25,439072.75,1024265.75,226358.25,496827,154446.25,894411,385988.75,234748.5,363616.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2009-12-31,anual,PAIS,200,Argentina,,7.6,18.6,5.5,12.1,1526915,4643430,2230464,1388767,656196,10445772,,,,,52982.42514,175844.9009,198062.134,-10023.58206,,,,,5837023,342888.25,15267.5,,68155.5,1184602,55360,405527.5,1033800.5,229765.25,499671,143412.25,854322.75,394353.25,243518.75,366378.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.1,2010-12-31,anual,PAIS,200,Argentina,40788453,7.9,18.7,4.4,11.9,1553418,4637463,2276041,1403587,691007,10561516,,,,,68717.36502,236521.4385,248160.3313,6353.865767,,,,,5986313.25,341565,15112.5,,69788.75,1210145.5,56960,408587.75,1068243.5,238530.75,512159.75,146111.25,879378.25,407254.75,254477.25,377998.25,,241488930.4,657881924.5,194946892,299623672,140498890.4,337437766.4,367399183.2,901822741.5,3145799482,233720299.3,4986276735,280752194.2,1494473477,,,,1176649938,379244079.7,94536696.69,4135924377,119366791.2,317162722.3,737549406.8,8194944621,60649535.54,1021590410,1215034775,284864116.6,514256497.1,693215654.5,657507306.8,1932609715,454231458.7,180286994.7,2258093707,294961103.4,762677113.8,554628969.9,510433981.5,6601530598,602944800.4,38222426.74,128033317,2583533661,1128818902,1392388960,1046146881,104456638.6
99.1,2011-12-31,anual,PAIS,200,Argentina,41261490,7.8,18.5,4,11.7,1563013,4620306,2291314,1439894,727444,10641971,,,,,92902.0754,303842.983,339849.0435,-16457.70742,,,,,6273627.5,356851.75,15655.75,,74013.25,1262423.75,59024,451522.25,1117581.5,249869.25,536569.5,154119,915813.5,425004.5,268436.5,386743,,302552129.3,730331212.3,207607036.8,426683485.7,189615369.8,411841956.1,328503546.9,2444755067,4354220867,361811250.8,5258163595,369623380.8,1442164125,,,,1320017837,432243304.1,105247171.7,5000082512,119288486.4,535801669.7,849326649.5,9574924744,60888763.22,955216632.4,1393391286,352805502.1,524137143.8,809897972.8,776880097.1,2856510031,484432506.9,167497761.3,2734041786,350297634.1,859194384.5,621434305.7,550315707.9,8441195059,755450253.5,86872995.99,129743454.6,2182223595,1270435819,1748593098,1129151038,144062745.3
99.1,2012-12-31,anual,PAIS,200,Argentina,41733271,7.7,17.9,3.5,11.1,1610845,4603422,2330757,1482788,767698,10795510,,,,,121212.6654,383504.2712,418674.4057,-14003.92447,,,,,6357147.5,350562.75,14607,,77326.75,1280509.5,60887,443736.25,1139945.75,259242.75,551581,159447,909178.25,437856.5,280101.5,392165.5,,286049990.6,704347922.9,128408628.7,499184452.3,117644287.5,364236419.6,319724269.6,2951957334,4841077685,302414636,3191608577,356819821.6,,1513251647,426879111,156393599.7,1158879070,529979167.2,106460906.2,4319829759,99438856.61,490651226.3,929052022.1,9849828011,67115339.2,871138849,462293503.4,360469299.9,503315387.5,902830966.5,796345526,,324705573.3,116419386.7,2567045741,295285068.2,728074393.8,686823116.8,499327293.3,7969759827,524267526.8,125627713.1,290511989.7,2611223721,1105103018,2058744122,809964688.5,118447984.8
99.1,2013-12-31,anual,PAIS,200,Argentina,42202935,7.7,17.9,3.2,10.8,1652657,4563491,2341110,1525009,793018,10875285,,,,,175468.1786,510190.8558,549735.0274,-9841.693853,,,,,6413142.75,349654.75,14359.75,,80379.75,1292254.75,63672.75,440400.5,1152835.75,265258.5,560044,161876.5,898398.25,448509.25,289181,396317.25,,263154133.7,919217674.2,136373711.1,197211173.7,157394056.1,422065294.3,335722668.5,734256490,5849118089,290987492,4090223565,313361028,,950277796.3,289509796.4,121137541.6,1158211668,649338632.1,116870042.6,4089371219,110321668.1,439412855.2,887537790.1,10660572682,69057457.63,943130219.9,485526621.4,330171924,523491423.8,912957835.7,790165022.4,,289281514.3,135440910.3,2053829697,260308588.2,733369900.7,563507211.2,399741854,8552670522,492355296.2,83746922.88,217891756.5,1736775154,738132785,2120188268,707678647.5,105542606.8
99.1,2014-12-31,anual,PAIS,200,Argentina,42669500,7.6,18.2,3.7,10.6,1687543,4550923,2342915,1553552,853853,10988786,,,,,241075.6152,709202.658,754496.5779,-2974.225801,,,,,6422638.5,349367.25,14447.5,,86434,1277676,66963.25,437768,1157310.5,269249.75,565231.5,161592.75,879816.5,459520.25,298159.75,399101.5,,260056087.5,996005297.5,107623861.7,350221955,137264711.8,379298761.2,269002250.1,603571634.3,3525199093,275611886.7,3776220425,255105240.8,,929138894.7,205793891.1,115235687.6,1195335165,546637410.3,115076225.3,3467651155,77654243.34,322711551.2,842002576.4,11837832992,70010948.9,1040883224,493870868.7,330028784.4,559156635.4,851256766,733769650.5,,259524463,137860349.4,2067792222,262716216.4,634407717.4,416651888.1,297209545.8,7173078208,264594409.9,48694093.22,184990869,1619632669,579611406.6,1852930756,600996087.3,79841708.96
