indice_tiempo,total_sector_privado,caba,provincia_buenos_aires,catamarca,cordoba,corrientes,chaco,chubut,entre_rios,formosa,jujuy,la_pampa,la_rioja,mendoza,misiones,neuquen,rio_negro,salta,san_juan,san_luis,santa_cruz,santa_fe,santiago_estero,tierra_fuego,tucuman,sin_clasificar
2006-01-01,4937.92,1279.692,1549.285,27.93,387.987,56.158,48.149,84.713,102.826,17.071,42.135,31.567,26.338,179.545,78.615,79.293,95.765,69.809,63.249,46.897,47.13,417.937,34.146,24.933,103.412,43.338
2006-04-01,5004.27,1307.624,1557.442,28.771,397.546,57.256,49.766,86.396,106.955,17.431,39.512,31.775,26.11,175.275,83.052,77.393,81.643,65.742,64.185,46.683,46.151,425.146,34.391,25.462,126.304,46.259
2006-07-01,5077.027,1335.681,1584.78,26.82,403.891,58.325,48.848,86.996,109.491,18.115,42.976,31.794,24.349,170.771,82.989,78.91,80.361,66.43,62.983,47.575,43.762,429.355,34.952,25.33,133.0,48.543
2006-10-01,5239.932,1381.831,1642.924,27.576,417.496,59.175,49.662,90.859,114.425,19.175,44.388,33.234,24.765,176.901,81.376,81.836,82.53,71.002,66.082,49.239,48.034,444.18,35.511,27.427,121.372,48.932
2007-01-01,5373.789,1404.666,1689.68,30.301,424.108,59.25,51.712,92.176,111.032,20.09,43.212,34.055,28.265,189.073,84.087,88.05,102.783,74.605,69.902,50.52,52.456,444.256,35.671,27.201,113.618,53.02
2007-04-01,5462.68,1438.034,1696.548,31.829,432.508,63.249,54.805,93.0,114.728,20.386,41.53,35.394,28.042,187.525,87.742,87.911,87.559,71.808,69.896,51.533,54.225,453.914,37.527,28.044,139.126,55.817
2007-07-01,5515.819,1463.837,1709.719,28.745,437.728,64.107,54.999,93.104,117.843,21.069,44.863,36.987,26.202,181.979,89.707,87.239,85.674,72.89,68.184,51.713,51.364,458.009,39.118,28.572,146.278,55.889
2007-10-01,5668.669,1495.535,1765.33,30.239,454.393,64.297,55.24,95.766,126.938,21.311,47.0,37.734,26.357,186.849,86.747,89.123,87.842,77.096,70.059,53.919,54.575,472.564,39.87,30.331,142.539,57.015
2008-01-01,5768.65,1507.651,1809.044,31.827,462.929,64.891,55.748,96.238,120.1,20.462,45.635,37.082,29.269,196.136,86.028,92.212,108.88,79.011,74.369,54.215,55.974,474.388,40.252,28.82,136.615,60.874
2008-04-01,5857.694,1545.664,1815.811,34.132,470.323,66.548,58.61,97.283,123.129,20.882,43.831,36.91,29.566,193.308,89.866,90.176,93.426,76.091,75.049,54.266,56.942,481.821,41.978,29.82,168.635,63.627
